%Wavelength (nm)	HBO2	HB	Water (mm-1)	Lipid (mm^-1)
600	0.883272	3.462167	0.0002224	0.000465663
602	0.710117	2.704156	0.00024314	0.000480355
604	0.583015	2.385478	0.000254628	0.00048929
606	0.487227	2.106865	0.000260231	0.00048056
608	0.423676	1.883515	0.000263383	0.000470492
610	0.365651	1.703452	0.0002644	0.000464122
612	0.318678	1.559311	0.00026611	0.000453957
614	0.280915	1.443721	0.000267255	0.000427972
616	0.2496	1.349315	0.000268706	0.000423247
618	0.22289	1.269185	0.000271498	0.000436728
620	0.200785	1.201028	0.0002755	0.000430562
622	0.181444	1.144385	0.000280225	0.000432473
624	0.165786	1.095109	0.000282078	0.00044044
626	0.15105	1.052742	0.000286287	0.000426808
628	0.138155	1.01544	0.000290843	0.000426572
630	0.128024	0.982283	0.0002916	0.000428105
632	0.118813	0.941297	0.000298176	0.000439596
634	0.110524	0.91735	0.000300542	0.000441549
636	0.104998	0.897087	0.000303626	0.000420575
638	0.0995	0.877745	0.000308318	0.000434706
640	0.0958	0.862088	0.0003108	0.000452128
642	0.093	0.847351	0.000320177	0.000449608
644	0.0912	0.835378	0.000323724	0.00046028
646	0.0912	0.824325	0.00032877	0.000464126
648	0.0903	0.814194	0.000336022	0.000464601
650	0.0903	0.804063	0.00034	0.000471293
652	0.0912	0.795773	0.000354431	0.000468275
654	0.0912	0.784721	0.000365534	0.000460651
656	0.0903	0.769984	0.000379155	0.0004347
658	0.0903	0.762616	0.000396973	0.000423758
660	0.0921	0.750643	0.00041	0.000418305
662	0.093	0.735906	0.000421821	0.000411506
664	0.093	0.720249	0.000427692	0.000420426
666	0.093	0.702749	0.000430628	0.00044065
668	0.0939	0.684328	0.000465822	0.000452359
670	0.0939	0.664066	0.000474391	0.000450961
672	0.0939	0.643803	0.000476849	0.000457656
674	0.0949	0.62354	0.000481705	0.000463987
676	0.0949	0.603277	0.000486797	0.000448707
678	0.0949	0.583015	0.000490739	0.000423973
680	0.0949	0.563673	0.000499673	0.000408603
682	0.0949	0.544331	0.000502884	0.000389912
684	0.0949	0.52591	0.000512576	0.000371346
686	0.0949	0.50749	0.000520704	0.000365049
688	0.0949	0.490911	0.000532822	0.000352255
690	0.0949	0.475254	0.000546102	0.000341683
692	0.0949	0.460517	0.000567162	0.000334897
694	0.0949	0.446702	0.000586404	0.000327811
696	0.0958	0.433807	0.000608705	0.000322248
698	0.0958	0.422755	0.000634293	0.000327225
700	0.0967	0.411702	0.000662886	0.000323286
702	0.0976	0.401571	0.000694567	0.000319411
704	0.0976	0.39236	0.00073132	0.000326221
706	0.0995	0.38315	0.000768075	0.000319501
708	0.100393	0.37394	0.000809715	0.000310224
710	0.101314	0.365651	0.000859616	0.000315005
712	0.103156	0.35644	0.000920254	0.000321958
714	0.104077	0.349072	0.000995022	0.000320326
716	0.105919	0.340783	0.001081342	0.000331792
718	0.10684	0.332493	0.001168843	0.000354037
720	0.108682	0.325125	0.001271333	0.00036932
722	0.110524	0.318678	0.001378566	0.000385
724	0.112366	0.313152	0.001490523	0.000403674
726	0.113287	0.307625	0.001612808	0.000433
728	0.115129	0.303941	0.00177585	0.000465187
730	0.116971	0.301178	0.00197441	0.0005
